PCA,iGroups,jGroup,BH adjusted p-value
PC1,crown root,lateral root,0.00264312549802461
PC1,lateral root,stem,0.00264312549802461
PC1,crown root,stem,0.00265174139698292
PC6,crown root,lateral root,0.189652337105725
PC15,lateral root,stem,0.189652337105725
PC4,crown root,lateral root,0.539046776230242
PC5,crown root,lateral root,0.539046776230242
PC6,crown root,stem,0.539046776230242
PC15,crown root,lateral root,0.539046776230242
PC6,lateral root,stem,0.828937832699516
PC15,crown root,stem,0.828937832699516
PC2,crown root,lateral root,0.87377995336662
PC1,crown root,crown root,1
PC1,lateral root,lateral root,1
PC2,crown root,crown root,1
PC2,crown root,stem,1
PC2,lateral root,lateral root,1
PC2,lateral root,stem,1
PC3,crown root,crown root,1
PC3,crown root,lateral root,1
PC3,crown root,stem,1
PC3,lateral root,lateral root,1
PC3,lateral root,stem,1
PC4,crown root,crown root,1
PC4,crown root,stem,1
PC4,lateral root,lateral root,1
PC4,lateral root,stem,1
PC5,crown root,crown root,1
PC5,crown root,stem,1
PC5,lateral root,lateral root,1
PC5,lateral root,stem,1
PC6,crown root,crown root,1
PC6,lateral root,lateral root,1
PC7,crown root,crown root,1
PC7,crown root,lateral root,1
PC7,crown root,stem,1
PC7,lateral root,lateral root,1
PC7,lateral root,stem,1
PC8,crown root,crown root,1
PC8,crown root,lateral root,1
PC8,crown root,stem,1
PC8,lateral root,lateral root,1
PC8,lateral root,stem,1
PC9,crown root,crown root,1
PC9,crown root,lateral root,1
PC9,crown root,stem,1
PC9,lateral root,lateral root,1
PC9,lateral root,stem,1
PC10,crown root,crown root,1
PC10,crown root,lateral root,1
PC10,crown root,stem,1
PC10,lateral root,lateral root,1
PC10,lateral root,stem,1
PC11,crown root,crown root,1
PC11,crown root,lateral root,1
PC11,crown root,stem,1
PC11,lateral root,lateral root,1
PC11,lateral root,stem,1
PC12,crown root,crown root,1
PC12,crown root,lateral root,1
PC12,crown root,stem,1
PC12,lateral root,lateral root,1
PC12,lateral root,stem,1
PC13,crown root,crown root,1
PC13,crown root,lateral root,1
PC13,crown root,stem,1
PC13,lateral root,lateral root,1
PC13,lateral root,stem,1
PC14,crown root,crown root,1
PC14,crown root,lateral root,1
PC14,crown root,stem,1
PC14,lateral root,lateral root,1
PC14,lateral root,stem,1
PC15,crown root,crown root,1
PC15,lateral root,lateral root,1